category,info,lat,lon,marker_size,marker_color,label,tool_tip
Device,TRC136|BG18812|smart_tractor|KG Vineyards|146.51 hours,38.152565,-121.6258698,2,red,,TRC136|BG18812|smart_tractor|KG Vineyards|146.51 hours|2|##########|02.512.01.00.441
Device,JD19-09|BG15931|smart_tractor|Kisling Farms LLC|146.47 hours,36.1668816,-119.309494,2,red,,JD19-09|BG15931|smart_tractor|Kisling Farms LLC|146.47 hours|2|##########|02.504.01.00.429
Device,T8022|BG14856|smart_tractor|KMO|146.47 hours,47.3290939,-120.3201599,2,red,,T8022|BG14856|smart_tractor|KMO|146.47 hours|2|##########|02.504.01.00.429
Device,1107|BG15410|smart_tractor|Lange Twins|146.49 hours,38.1572762,-121.0730438,2,red,,1107|BG15410|smart_tractor|Lange Twins|146.49 hours|2|##########|02.504.01.00.429
Device,T0312-20|BG14364|smart_tractor|Lawrence Orchards|143.61 hours,46.9499054,-119.5261307,2,red,,T0312-20|BG14364|smart_tractor|Lawrence Orchards|143.61 hours|2|##########|02.504.01.00.429
Device,HT-627-JD5115M|BG20007|smart_tractor|Mesa Vineyard|146.59 hours,36.4530792,-121.4532318,2,red,,HT-627-JD5115M|BG20007|smart_tractor|Mesa Vineyard|146.59 hours|2|##########|02.504.01.00.429
Device,HT-270-JD5115M|BG20017|smart_tractor|Mesa Vineyard|146.59 hours,36.4532471,-121.4530487,2,red,,HT-270-JD5115M|BG20017|smart_tractor|Mesa Vineyard|146.59 hours|2|##########|02.504.01.00.429
Device,SS009|BG18828|smart_tractor|Olam|146.56 hours,35.2823715,-119.1631775,2,red,,SS009|BG18828|smart_tractor|Olam|146.56 hours|2|##########|02.504.01.00.429
Device,SS012|BG20009|smart_tractor|Olam|146.57 hours,35.2831383,-119.162674,2,red,,SS012|BG20009|smart_tractor|Olam|146.57 hours|2|##########|02.504.01.00.429
Device,OL-Trc-FE-24|BG18757|smart_tractor|OLAM AUSTRALIA|128.57 hours,-34.8272667,142.6607056,2,red,,OL-Trc-FE-24|BG18757|smart_tractor|OLAM AUSTRALIA|128.57 hours|2|##########|02.513.00.04.442
Device,OL-Trk-FL-850|BG16550|weed_sprayer|OLAM AUSTRALIA|128.57 hours,-34.8102379,142.5440826,2,red,,OL-Trk-FL-850|BG16550|weed_sprayer|OLAM AUSTRALIA|128.57 hours|2|##########|02.513.00.04.442
Device,OL-Trk-FL-852|BG16692|smart_tractor|OLAM AUSTRALIA|128.52 hours,-34.8270645,142.6608124,2,red,,OL-Trk-FL-852|BG16692|smart_tractor|OLAM AUSTRALIA|128.52 hours|2|##########|02.513.00.04.442
Device,OL-Trc-FE-160|BG16693|smart_tractor|OLAM AUSTRALIA|128.52 hours,-34.7547035,142.718277,2,red,,OL-Trc-FE-160|BG16693|smart_tractor|OLAM AUSTRALIA|128.52 hours|2|##########|02.513.00.04.442
Device,OL-Trc-FE-21|BG20171|smart_tractor|OLAM AUSTRALIA|126.57 hours,-34.818615,142.5748138,2,red,,OL-Trc-FE-21|BG20171|smart_tractor|OLAM AUSTRALIA|126.57 hours|2|##########|02.513.00.04.442
Device,SW3|BG16802|sweeper|Palla Farms|146.51 hours,35.1827507,-119.0813904,2,red,,SW3|BG16802|sweeper|Palla Farms|146.51 hours|2|##########|02.504.01.00.429
