category,info,lat,lon,marker_size,marker_color,label,tool_tip
Yard Tag Sweep,7 devices|0% NT|Agricare,36.16105481111111,-119.07272085555554,2,#008000,0/7,Company: Agricare\nNT/Devices: 0/7 [0%]
Yard Tag Sweep,7 devices|28% NT|Farmland,36.04327336097561,-119.43702195487802,4.285714285714286,#5ca400,2/7,Company: Farmland\nNT/Devices: 2/7 [28%]
Yard Tag Sweep,6 devices|33% NT|Farmland,40.414776044999996,-122.202319715,4.666666666666666,#70aa00,2/6,Company: Farmland\nNT/Devices: 2/6 [33%]
Yard Tag Sweep,9 devices|66% NT|Farmland,37.56596419117648,-120.67470437941176,7.333333333333333,#d49000,6/9,Company: Farmland\nNT/Devices: 6/9 [66%]
Yard Tag Sweep,4 devices|0% NT|Farmland,36.85072241111111,-120.27420977777777,2,#008000,0/4,Company: Farmland\nNT/Devices: 0/4 [0%]
Yard Tag Sweep,9 devices|33% NT|Farmland,36.891021312727275,-120.3637179181818,4.666666666666666,#70aa00,3/9,Company: Farmland\nNT/Devices: 3/9 [33%]
Yard Tag Sweep,5 devices|80% NT|Farmland,37.00345634038462,-120.13732485,8.4,#e65c00,4/5,Company: Farmland\nNT/Devices: 4/5 [80%]
Yard Tag Sweep,2 devices|100% NT|Farmland,35.838327799999995,-119.15195007,10.0,#f00,2/2,Company: Farmland\nNT/Devices: 2/2 [100%]
Yard Tag Sweep,11 devices|27% NT|Farmland,35.81987240273972,-119.30553311506847,4.181818181818182,#58a200,3/11,Company: Farmland\nNT/Devices: 3/11 [27%]
Yard Tag Sweep,11 devices|27% NT|Farmland,35.566237259999994,-119.38560154999999,4.181818181818182,#58a200,3/11,Company: Farmland\nNT/Devices: 3/11 [27%]
Yard Tag Sweep,7 devices|42% NT|Farmland,36.10978462941176,-119.54133493235294,5.428571428571429,#98b500,3/7,Company: Farmland\nNT/Devices: 3/7 [42%]
Yard Tag Sweep,3 devices|66% NT|Farmland,36.17005370555556,-119.49473656111111,7.333333333333333,#d49000,2/3,Company: Farmland\nNT/Devices: 2/3 [66%]
Yard Tag Sweep,9 devices|33% NT|Farmland,36.90086282173913,-120.43467678695656,4.666666666666666,#70aa00,3/9,Company: Farmland\nNT/Devices: 3/9 [33%]
Yard Tag Sweep,4 devices|100% NT|Farmland,36.95269359090909,-120.42491081818183,10.0,#f00,4/4,Company: Farmland\nNT/Devices: 4/4 [100%]
Yard Tag Sweep,4 devices|50% NT|Farmland,39.00156783076923,-121.39986536923077,6.0,#bfbf00,2/4,Company: Farmland\nNT/Devices: 2/4 [50%]
Yard Tag Sweep,2 devices|100% NT|Farmland,35.03246941333334,-118.94910839333332,10.0,#f00,2/2,Company: Farmland\nNT/Devices: 2/2 [100%]
Yard Tag Sweep,5 devices|40% NT|Farmland,39.96820603333333,-122.25620676,5.2,#8fb300,2/5,Company: Farmland\nNT/Devices: 2/5 [40%]
Yard Tag Sweep,3 devices|0% NT|Farmland,35.819721103125,-119.24521254999999,2,#008000,0/3,Company: Farmland\nNT/Devices: 0/3 [0%]
Yard Tag Sweep,1 devices|0% NT|Farmland,36.95585802222222,-120.37291887777776,2,#008000,0/1,Company: Farmland\nNT/Devices: 0/1 [0%]
Yard Tag Sweep,7 devices|0% NT|Farmland,36.99276427,-120.45463408,2,#008000,0/7,Company: Farmland\nNT/Devices: 0/7 [0%]
